repo_name,file_html,file_path,complicate_code,call_func,simple_code,if_refactorable
PyGrid,https://github.com/OpenMined/PyGrid/tree/master/apps/domain/tests/test_routes/test_users_http.py,,test_get_users_missing_token$283,*user2,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
videos,https://github.com/3b1b/videos/tree/master/_2021/quick_eigen.py,TypicalComputation,construct$487,"*(det_expression[i] for i in [6, 7, 11, 12])","
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
netbox,https://github.com/netbox-community/netbox/tree/master/netbox/extras/scripts.py,IntegerVar,__init__$128,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
syncthing-gtk,https://github.com/kozec/syncthing-gtk/tree/master/syncthing_gtk/daemon.py,RESTRequest,_response$1119,*self._callback_data,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
pyro,https://github.com/pyro-ppl/pyro/tree/master/pyro/infer/inspect.py,,get_model_relations$230,*model_args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
Archery,https://github.com/hhyo/Archery/tree/master/sql/models.py,CloudAccessKey,__init__$793,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
unknown-horizons,https://github.com/unknown-horizons/unknown-horizons/tree/master/horizons/gui/mousetools/navigationtool.py,NavigationTool,mouseDragged$127,*scroll_by,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
yt-dlp,https://github.com/yt-dlp/yt-dlp/tree/master/yt_dlp/extractor/radiocanada.py,RadioCanadaIE,_real_extract$144,*self._match_valid_url(url).groups(),"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
sympy,https://github.com/sympy/sympy/tree/master/sympy/physics/quantum/qexpr.py,QExpr,_print_contents_latex$290,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
fuzzbench,https://github.com/google/fuzzbench/tree/master/docs/reference/benchmarks.py,,infos_to_markdown_table$165,*benchmark_info,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
edx-platform,https://github.com/edx/edx-platform/tree/master/lms/djangoapps/grades/rest_api/v1/utils.py,GradeViewMixin,_paginate_users$132,*filter_args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
sympy,https://github.com/sympy/sympy/tree/master/sympy/polys/rootoftools.py,RootSum,_rational_case$1119,*p.gens,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
brainstorm,https://github.com/IDSIA/brainstorm/tree/master/brainstorm/structure/buffer_structure.py,BufferStructure,from_layout$111,*shape,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
bonobo,https://github.com/python-bonobo/bonobo/tree/master/bonobo/util/testing.py,EnvironmentTestCase,run_environ$152,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
cubes,https://github.com/DataBrewery/cubes/tree/master/cubes/server/decorators.py,,wrapper$145,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
PyUserInput,https://github.com/SavinaRoja/PyUserInput/tree/master/pymouse/windows.py,PyMouse,drag$72,*m.position(),"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
celery,https://github.com/celery/celery/tree/master/celery/utils/collections.py,ConfigurationView,__init__$368,*defaults,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
jumpserver,https://github.com/jumpserver/jumpserver/tree/master/apps/authentication/backends/radius.py,CreateUserMixin,_perform_radius_auth$35,*sys.exc_info(),"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
sktime,https://github.com/alan-turing-institute/sktime/tree/master/sktime/classification/dictionary_based/_cboss.py,ContractableBOSS,_fit$168,*parameters,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
trax,https://github.com/google/trax/tree/master/trax/tf_numpy/jax_tests/test_util.py,,rand_some_equal$454,*onp.shape(x),"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
genshin_auto_fish,https://github.com/7eu7d7/genshin_auto_fish/tree/master/yolox/data/dataloading.py,DataLoader,__init__$40,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
instaloader,https://github.com/instaloader/instaloader/tree/master/instaloader/instaloader.py,,call$95,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
astropy,https://github.com/astropy/astropy/tree/master/astropy/modeling/tests/test_input.py,,test_format_input_arrays_transposed$1088,*input,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
bayespy,https://github.com/bayespy/bayespy/tree/master/bayespy/utils/misc.py,,diag$1253,*np.shape(X)[-ndim:],"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
videos,https://github.com/3b1b/videos/tree/master/_2021/shadows.py,IntroduceShadow,construct$391,"*map(FadeOut, (rect, s_eq, *edge_lines, *s_labels, s_squared))","
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
captum,https://github.com/pytorch/captum/tree/master/tests/attr/test_saliency.py,Test,test_saliency_test_basic_multi_vargrad$126,*_get_multiargs_basic_config(),"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
PhiFlow,https://github.com/tum-pbs/PhiFlow/tree/master/phi/torch/_torch_backend.py,TorchFunction,forward$138,*y,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
elyra,https://github.com/elyra-ai/elyra/tree/master/elyra/tests/pipeline/resources/components/airflow_test_operator.py,HelperClass1,__init__$186,*args,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
aequitas,https://github.com/dssg/aequitas/tree/master/src/aequitas/plot/summary_chart.py,,__draw_metric_line_titles$99,*metric_line_titles,"
tmp_arg[0], tmp_arg[1], ..., tmp_arg[len(tmp_arg) - 1]
"
